Name,Headshot
"Agarwal, Shivani",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Q4ErnU4AAAAJ&citpid=1
"Lama A. Al-Aswad, MD, MPH",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GItNNZ8AAAAJ&citpid=1
"Agarwal, Ritesh",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qK4q4IUAAAAJ&citpid=1
"Arratia, Paulo E.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xOgTiJgAAAAJ&citpid=1
"Angel, Sebastian",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=pNaNj8EAAAAJ&citpid=1
"Alur, Rajeev",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ZvLa1RIAAAAJ&citpid=3
"Barash, Yoseph",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=U5G4TJAAAAAJ&citpid=2
"Baker, Ryan",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hvs8PEoAAAAJ&citpid=6
"Bargatin, Igor",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=pBNmVHAAAAAJ&citpid=4
"Bassett, Lee C.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KL2VpfUAAAAJ&citpid=1
"Bastani, Osbert",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ZbUfUMoAAAAJ&citpid=2
"Boerckel, Joel D.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=o_a5zckAAAAJ&citpid=4
"Bau, Haim H.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fdwMpUoAAAAJ&citpid=2
"Bowman, Greg",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zXobc4MAAAAJ&citpid=10
"Bugaj, Lukasz",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1RI7H7YAAAAJ&citpid=2
"Bassett, Dani S.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=siYpAPsAAAAJ&citpid=11
"Carroll, Devin",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5pEXV-IAAAAJ&citpid=1
"Callison-Burch, Chris",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nv-MV58AAAAJ&citpid=8
"Chatterjee, Pranam",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XExgv9YAAAAJ&citpid=3
"Carpick, Robert W.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RxDqOsoAAAAJ&citpid=2
"Chaudhari, Pratik",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=c_z5hWEAAAAJ&citpid=6
"Chen, Yuxin",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RtNVud4AAAAJ&citpid=4
"Cormode, David",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9G_OOGkAAAAJ&citpid=2
"Crocker, John C.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NLH31KIAAAAJ&citpid=4
"Cullen, D. Kacy",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Rj159r4AAAAJ&citpid=3
"Composto, Russell J.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yu95z48AAAAJ&citpid=2
"Daniilidis, Konstantinos",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dGs2BcIAAAAJ&citpid=5
"Davies, Peter F.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=C1tFHRoAAAAJ&citpid=9
"De, Anindya",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lPM8k54AAAAJ&citpid=2
"Davies, Peter K.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=s_Lf1DwAAAAJ&citpid=2
"Fuente, Cesar de la",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=N2OdcFYAAAAJ&citpid=2
"Devietti, Joseph",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0o1C8ykAAAAJ&citpid=1
"Davatzikos, Christos",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RId1qZ8AAAAJ&citpid=7
"Durian, Douglas",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YgFOewgAAAAJ&citpid=4
"Eaton, Eric",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QIZWnnQAAAAJ&citpid=4
"Diamond, Scott L.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=THLnamEAAAAJ&citpid=2
"Fakhraai, Zahra",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vC51jZwAAAAJ&citpid=9
"Farmer, Thomas",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xWANiPUAAAAJ&citpid=2
"Figueroa, Nadia",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1NQRXHQAAAAJ&citpid=6
"Discher, Dennis E.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lPBKlS8AAAAJ&citpid=2
"Gardner, Jacob",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0gkajvEAAAAJ&citpid=1
"Gao, Xue (Sherry)",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uuc4jzoAAAAJ&citpid=29
"Engheta, Nader",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vlaNppcAAAAJ&citpid=3
"Goel, Surbhi",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Zqz4CQoAAAAJ&citpid=1
"Good, Matt",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HMZ_caAAAAAJ&citpid=2
"Gu, Lei",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=sJf1iI8AAAAJ&citpid=3
"Hall, Anthony Shoji",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=L98xBPAAAAAJ&citpid=10
"Hashimoto, Daniel A.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zXESohsAAAAJ&citpid=5
"Hassani, Hamed",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=M9V6y-0AAAAJ&citpid=3
"Head, Andrew",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lccNQ3AAAAAJ&citpid=5
"Hemenway, Brett",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ahCv50cAAAAJ&citpid=3
"Heo, Su Chin",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YLKBGewAAAAJ&citpid=8
"Holladay, Rachel",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0eV9GZEAAAAJ&citpid=3
"Hammer, Daniel A.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-VUw0SoAAAAJ&citpid=1
"Hsieh, M. Ani",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Bh8bGCYAAAAJ&citpid=11
"Hughes, Alex J.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2I3Y6SgAAAAJ&citpid=3
"Jackson, Andrew",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2FXrcUEAAAAJ&citpid=1
"Huh, Dongeun (Dan)",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LVp3M8cAAAAJ&citpid=5
"Issadore, David",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FnPWUaIAAAAJ&citpid=8
"Ives, Zachary",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2wJaIkEAAAAJ&citpid=2
"Jaggard, Dwight L.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MtXxx3AAAAAJ&citpid=3
"Jayaraman, Dinesh",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QxLpghAAAAAJ&citpid=6
"Jerolmack, Douglas",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nwGbdXUAAAAJ&citpid=2
"Jariwala, Deep",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=u1CHA2sAAAAJ&citpid=5
"Jiang, Ning Jenny",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lveWKioAAAAJ&citpid=8
"Jiang, Yuanwen",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BJXpPqAAAAAJ&citpid=2
"Johnson, Michelle",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Bdlf-Z4AAAAJ&citpid=1
"Johnson, Kevin B.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RFcbxjoAAAAJ&citpid=3
"Johnson, A.T. Charlie",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=axPr2SQAAAAJ&citpid=2
"Kafai, Yasmin",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kQEsTycAAAAJ&citpid=3
"Kagan, Cherie",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=r16t06oAAAAJ&citpid=1
"Kim, Bongho",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xjG7WC8AAAAJ&citpid=2
"Kim, Dohyung",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8K3x8szoF1gC&citpid=3
"Kearns, Michael",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8iQk0DIAAAAJ&citpid=6
"Kim, Gyuseok L.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=60dW-2oAAAAJ&citpid=1
"Khanna, Sanjeev",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HriWXcEAAAAJ&citpid=2
"Kording, Konrad Paul",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MiFqJGcAAAAJ&citpid=8
"Lee, Benjamin C.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4Tnj6PcAAAAJ&citpid=3
"Li, Jing (Jane)",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QGYL3tAAAAAJ&citpid=1
"Li, Ling",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=T_VhSCkAAAAJ&citpid=1
"Li, Gushu",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Po0BT08AAAAJ&citpid=11
"Liberman, Mark Y.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=R--JjPoAAAAJ&citpid=1
"Kumar, Vijay",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FUOEBDUAAAAJ&citpid=2
"Lee, Insup",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qPlUgrgAAAAJ&citpid=2
"Liu, X. Sherry",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=CyokHdUAAAAJ&citpid=2
"Litt, Brian",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=AK8MUJoAAAAJ&citpid=7
"Liu, Lingjie",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HZPnJ9gAAAAJ&citpid=8
"Loebel, Claudia",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GHfjUyEAAAAJ&citpid=1
"Loo, Boon Thau",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HF2G3LAAAAAJ&citpid=7
"Lu, Lu",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8EFohFoAAAAJ&citpid=27
"Lumbroso, Jérémie O.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WeHh1d0AAAAJ&citpid=33
"Long, Qi",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=gfklepYAAAAJ&citpid=4
"Lukes, Jennifer R.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6Qg5IL8AAAAJ&citpid=5
"Lydon-Staley, David M.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hyfkcO0AAAAJ&citpid=7
"Madl, Christopher M.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0nOfuMgAAAAJ&citpid=1
"Matni, Nikolai",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ZDPCh_EAAAAJ&citpid=4
"Mangharam, Rahul",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=b9WsJN4AAAAJ&citpid=2
"McBride, Samantha A.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=P8MHo3UAAAAJ&citpid=3
"Metaxa, Danaé",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6pA2wn4AAAAJ&citpid=5
"Mishra, Pratyush",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2YvaGO0AAAAJ&citpid=1
"Miskin, Marc",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3Y5LfW4AAAAJ&citpid=4
"Mauk, Michael",https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Oc0j85sAAAAJ&citpid=6
"Momin, Noor",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=06TKza8AAAAJ&citpid=9
"Mitchell, Michael J.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=cc7DoNsAAAAJ&citpid=15
"Naik, Mayur",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fmsV6nEAAAAJ&citpid=4
"Osuji, Chinedum O.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yt7S_-YAAAAJ&citpid=2
"Olsson, Troy",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1B7Ox5AAAAAJ&citpid=1
"Murray, Christopher",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UKtotoAAAAAJ&citpid=2
"Patel, Amish J.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XllbW4gAAAAJ&citpid=2
"Morari, Manfred",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JiW8z50AAAAJ&citpid=2
"Park, George Ilhwan",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=pr4pzykAAAAJ&citpid=1
"Perdikaris, Paris",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=h_zkt1oAAAAJ&citpid=7
"Pesaran, Bijan",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fKsY32YAAAAJ&citpid=3
"Phan, Linh Thi Xuan",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ojH7GEgAAAAJ&citpid=4
"Plotkin, Joshua B.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WANIT2oAAAAJ&citpid=11
"Pappas, George J.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Kia-4B0AAAAJ&citpid=23
"Posa, Michael",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DCSFMuAAAAAJ&citpid=7
"Castañeda, Pedro Ponte",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TO4xGe0AAAAJ&citpid=2
"Pouch, Alison",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FLKTVUYAAAAJ&citpid=3
"Preciado, Victor M.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VuN3KZMAAAAJ&citpid=2
"Purohit, Prashant K.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TR_lnk0AAAAJ&citpid=1
"Radway, Robert M.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Ec_V2HwAAAAJ&citpid=3
"Raj, Arjun",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6NQVJmwAAAAJ&citpid=3
"Roberts, Dustyn P.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GURtVukAAAAJ&citpid=3
"Riggleman, Robert",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=aNlEZRUAAAAJ&citpid=3
"Roth, Aaron",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kLUQrrYAAAAJ&citpid=4
"Rappe, Andrew",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=mV6SkngAAAAJ&citpid=1
"Santiago-Aviles, Jorge J.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=k7j_vLsAAAAJ&citpid=2
"Seider, Warren D.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kmiovf4AAAAJ&citpid=1
"Shaffer, Sydney",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WI76rGcAAAAJ&citpid=12
"Shen, Yihui",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wG4cmpIAAAAJ&citpid=3
"Roth, Dan",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=E-bpPWgAAAAJ&citpid=1
"Shields, Brit",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=weYTL5EAAAAJ&citpid=3
"Sigillito, Anthony",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Jrmlsw4AAAAJ&citpid=2
"Sinno, Talid R.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=q0upi7wAAAAJ&citpid=1
"Shenoy, Vivek",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=otocTcgAAAAJ&citpid=2
"Snyder, Scott",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=PuF0I9EAAAAJ&citpid=1
"Soslowsky, Lou",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=X6vPtQEAAAAJ&citpid=3
"Sokolsky, Oleg",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=J0SKz5YAAAAJ&citpid=2
"Steager, Edward",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lfPTD18AAAAJ&citpid=3
"Su, Weijie",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Uhf4nBkAAAAJ&citpid=3
"Sung, Cynthia",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FqKcLDQAAAAJ&citpid=1
"Tertuliano, Ottman A.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qAtyQYsAAAAJ&citpid=2
"Trask, Nat",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6iLMZkwAAAAJ&citpid=2
"Taylor, Camillo Jose",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=r50jBCUAAAAJ&citpid=1
"Tsourkas, Andrew",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=OQSQaI4AAAAJ&citpid=2
"Turner, Kevin T.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=j_SWM_UAAAAJ&citpid=3
"Ulrich, Karl",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=boZIGjQAAAAJ&citpid=9
"Stach, Eric",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=OP3retUAAAAJ&citpid=3
"Vining, Kyle Holmberg",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=abWI2j0AAAAJ&citpid=5
"Vitale, Flavia",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jgyWJHIAAAAJ&citpid=6
"Vohra, Rakesh V.",https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=JnWSU4oAAAAJ&citpid=2
"Vojvodic, Aleksandra",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RFY_cIAAAAAJ&citpid=3
"Vohs, John M.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BhgmdDkAAAAJ&citpid=2
"Vidal, René",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uT8fgagAAAAJ&citpid=4
"Wang, Li-San",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ncxi_G4AAAAJ&citpid=10
"Weakly, Jessica",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=IDg3ICsAAAAJ&citpid=3
"Wei, Nathaniel J.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lDhxJ9QAAAAJ&citpid=5
"Watts, Duncan J.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LhOAiXMAAAAJ&citpid=2
"Weirich, Stephanie",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-vC_l2kAAAAJ&citpid=3
"Wilcox, Jennifer",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=eLflQgQAAAAJ&citpid=6
"Wong, Eric",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=pWnTMRkAAAAJ&citpid=1
"Wu, Wensi",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ZZiVyOgAAAAJ&citpid=1
"Yang, Shujie",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MG6PLhIAAAAJ&citpid=2
"Yatskar, Mark",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6RxMYNEAAAAJ&citpid=3
"Winey, Karen I.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_cFCfj0AAAAJ&citpid=5
"Yim, Mark",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6zm5XD8AAAAJ&citpid=1
"Yang, Shu",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=K-qEUmgAAAAJ&citpid=4
"Zhao, Mingmin",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=F5PfbSwAAAAJ&citpid=9
"Zdancewic, Stephan A.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=19kNRU0AAAAJ&citpid=6
"Yodh, Arjun G.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LWAFHkEAAAAJ&citpid=2
